"# DISCLOSURE: Sentinel camera registry export, 58 cameras, generated 2026-09-25T11:41:59+00:00 from data/sentinel.db. The 30 sandbox cameras (feed_kind=sandbox) are the organisers' catalogue; their departments and coordinates are seeded demonstration assignments (data/camera_seed.csv), not official data. The 28 local feeds (feed_kind=local-stock) are stock traffic footage published by a local mediamtx server at seeded coordinates with seeded departments (data/local_feeds.csv); they are not sandbox cameras and were not filmed by the team. No stream credential is stored or exported; sandbox stream URLs are built at run time from environment variables. Health is omitted (see gap-analysis-report.html). Delete this line before re-importing through POST /api/cameras/import."
camera_id,feed_kind,department,location_name,lat,lon,bearing_deg,fov_deg,range_m,ownership,transport,fps_tier,codec,width,height,declared_fps,rtsp_url_template,hls_url,source,notes
local15,local-stock,Municipal,"Sample feed 15 - Vaishnodevi circle (stock footage, seeded coordinates)",23.1368,72.5429,160.0,70.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local15,,manual,
local16,local-stock,Police,"Sample feed 16 - Income Tax circle Ashram Road (stock footage, seeded coordinates)",23.0461,72.5664,190.0,70.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local16,,manual,
local17,local-stock,Municipal,"Sample feed 17 - Nehru Bridge east end (stock footage, seeded coordinates)",23.0245,72.5757,270.0,60.0,120.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local17,,manual,
local18,local-stock,Health,"Sample feed 18 - Law Garden junction (stock footage, seeded coordinates)",23.0266,72.557,110.0,70.0,80.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local18,,manual,
local19,local-stock,Police,"Sample feed 19 - Kalupur station approach (stock footage, seeded coordinates)",23.0265,72.6016,60.0,75.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local19,,manual,
local20,local-stock,GSRTC,"Sample feed 20 - Geeta Mandir bus terminus (stock footage, seeded coordinates)",23.0158,72.5913,340.0,70.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local20,,manual,
local21,local-stock,Municipal,"Sample feed 21 - Maninagar cross roads (stock footage, seeded coordinates)",22.9964,72.6031,20.0,70.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local21,,manual,
local22,local-stock,Police,"Sample feed 22 - Naroda Patiya (stock footage, seeded coordinates)",23.07,72.656,210.0,70.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local22,,manual,
local23,local-stock,Municipal,"Sample feed 23 - Nikol road junction (stock footage, seeded coordinates)",23.0463,72.6664,95.0,65.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local23,,manual,
local24,local-stock,GSRTC,"Sample feed 24 - CTM cross roads (stock footage, seeded coordinates)",22.996,72.637,150.0,70.0,110.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local24,,manual,
local25,local-stock,Police,"Sample feed 25 - Narol cross roads (stock footage, seeded coordinates)",22.9585,72.596,0.0,70.0,110.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local25,,manual,
local26,local-stock,Health,"Sample feed 26 - Odhav ring road circle (stock footage, seeded coordinates)",23.0305,72.675,240.0,55.0,70.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local26,,manual,
local27,local-stock,Police,"Sample feed 27 - Airport circle Hansol (stock footage, seeded coordinates)",23.0735,72.631,300.0,70.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local27,,manual,
local28,local-stock,Panchayat,"Sample feed 28 - Kathwada GIDC gate (stock footage, seeded coordinates)",23.058,72.686,180.0,70.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local28,,manual,
